100    0,5743    616
200    0,2211    1822
300    0,4572    2452
400    0,4432    3489
500    0,188    4852
600    0,9669    6333
700    0,2395    7576
800    0,2596    8286
900    0,7008    9783
1000    0,32    12926
1100    0,3348    11425
1200    0,2574    14662
1300    0,299    14345
1400    0,2907    16703
1500    0,5849    17418
1600    0,5587    18693
1700    0,548    20391
1800    0,721    21088
1900    0,9914    22098
2000    1,0767    23663
2100    2,9162    27052
2200    0,742    27835
2300    0,5235    29440
2400    0,8226    28326
2500    0,8999    30285
2600    0,643    31587
2700    0,6127    32842
2800    0,4514    35285
2900    0,5592    39061
3000    0,4689    40198
3100    0,456    36759
3200    1,1449    40371
3300    1,3066    46120
3400    1,1046    50354
3500    0,8471    44767
3600    0,9116    46514
3700    0,8863    52091
3800    0,9092    49870
3900    0,8461    57631
4000    2,4941    51887
4100    0,9426    54392
4200    0,9417    58684
4300    1,4025    57766
4400    0,9399    59164
4500    0,9908    60245
4600    0,9499    67906
4700    1,0609    63994
4800    1,2024    63905
4900    0,8066    79123
5000    1,0619    65915
5100    1,1543    74250
5200    1,1814    70539
5300    1,2149    76932
5400    1,2905    73381
5500    1,442    70703
5600    0,866    75458
5700    1,3425    85555
5800    1,3427    83335
5900    1,3826    83419
6000    1,2201    85279
6100    1,1233    83328
6200    1,067    82735
6300    0,9694    85639
6400    1,0052    98865
6500    1,4384    93461
6600    1,0457    94971
6700    1,0356    96927
6800    1,0766    102630
6900    1,1055    102206
7000    1,1129    106503
7100    1,1041    101142
7200    1,1454    112478
7300    1,4758    105737
7400    1,1406    105643
7500    1,4675    112478
7600    1,6371    109732
7700    2,8029    118796
7800    1,2362    109335
7900    1,2597    112748
8000    1,7252    117703
8100    1,4204    115296
8200    1,3799    132163
8300    1,3682    125010
8400    1,4496    123344
8500    1,5219    127389
8600    1,3961    124847
8700    1,3925    131718
8800    1,4417    132100
8900    3,1374    132005
9000    2,1325    140263
9100    1,4933    140835
9200    1,4909    140685
9300    1,5401    144158
9400    1,5901    142159
9500    1,5786    140670
9600    1,6201    149635
9700    1,9515    151547
9800    2,4632    153023
9900    1,6536    145814
10000    1,7303    154666
